"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1791068283560759422","Thu May 16 13:58:25 +0000 2024","0","@myjeblue @starsleehan PELAKU. OMELIN AJA NAEL OMELIN","1791105928919662604","","myjeblue","in","6012","0","2","0","https://twitter.com/talkjaehyun/status/1791105928919662604","1293396106122915842","talkjaehyun"
"1791105873676468323","Thu May 16 13:58:12 +0000 2024","0","Kyk yg kmrn gw gelut korban tau mana yg becanda mana yang sengaja . Walau si pelaku menyangkal. Tp kalo tone deaf ya tone deaf aja bang lu asik. Asik sendiri.","1791105876805529955","","IslaFH","in","","0","0","0","https://twitter.com/IslaFH/status/1791105876805529955","1311958961537445888","IslaFH"
"1791105876520230942","Thu May 16 13:58:12 +0000 2024","0","Satu Pelaku Begal Casis Polri di Jakbar Tewas Ditembak Polisi https://t.co/X0n8gbSpKK","1791105876520230942","","","in","","0","0","0","https://twitter.com/bukantamagoci/status/1791105876520230942","996200408","bukantamagoci"
"1790745421834527134","Thu May 16 13:49:51 +0000 2024","0","Apakah Bjorka tahu kemana 3 orang pelaku itu sembunyi???","1791103775547265401","","MarlenStevanie","in","Desa Natai Baru, Kal - Teng","0","0","0","https://twitter.com/MarlenStevanie/status/1791103775547265401","1028399256762109952","MarlenStevanie"
"1790896872846168412","Thu May 16 13:49:42 +0000 2024","0","@ndahmutty Melayu=berlari. Melaku=berjalan. ","1791103737127391444","","ndahmutty","in","Jakarta","0","1","0","https://twitter.com/ssjazila/status/1791103737127391444","1405858228970291200","ssjazila"
"1791103685847884040","Thu May 16 13:49:30 +0000 2024","0","Pelajaran kalo berhubungan jangan divideoin bisa jadi orang terdekat kalian banyak liat dan bisa viral kasian orng yang jadi korban. Buat pelaku yang nyebarin gua harap Lo dapet ganjarannya aminn","1791103685847884040","","","in","","0","0","0","https://twitter.com/tututajao/status/1791103685847884040","1469368438439043073","tututajao"
"1791103479131582875","Thu May 16 13:48:41 +0000 2024","0","Restorative Justice merupakan pendekatan alternatif yang menekankan kepada pemulihan korban reintegrasi pelaku ke dalam masyarakat dan penyelesaian konflik secara kolaboratif https://t.co/DRkqmSM1wh","1791103479131582875","","","in","BANDAR LAMPUNG","0","0","0","https://twitter.com/monologis_id/status/1791103479131582875","1058474317","monologis_id"
"1791100081330180234","Thu May 16 13:47:41 +0000 2024","1","@opposite6892 Emang fix yakin ini pelaku nya ?","1791103229151031337","","opposite6892","in","","0","0","0","https://twitter.com/proteintelor/status/1791103229151031337","1729380990232186880","proteintelor"
"1790952690375377097","Thu May 16 13:47:38 +0000 2024","0","@ahriesonta Minimal sketsa wajah pak masa pelaku sampe boyok bgitu gk dapet jawaban pak ","1791103217738428796","","ahriesonta","in","","0","0","0","https://twitter.com/HariyatiFe6835/status/1791103217738428796","1743342541452476416","HariyatiFe6835"
"1791103196368413060","Thu May 16 13:47:33 +0000 2024","16","Indonesia darurat korupsi dan para pejabat tingginya seolah tak peduli bahkan jadi pelaku... . Bajitol...!!! https://t.co/pyEqWyaeXU","1791103196368413060","https://pbs.twimg.com/media/GNtG3WlagAAXlBh.jpg","","in","Indonesia","0","1","1","https://twitter.com/arifin34533/status/1791103196368413060","1420219650231574533","arifin34533"
"1791102903698272283","Thu May 16 13:46:23 +0000 2024","0","Kronologi Begal Casis Bintara: Pelaku Ikuti Korban-Pepet Saat Sepi https://t.co/NF18lvkuEz","1791102903698272283","","","in","JKT-INA","0","0","0","https://twitter.com/20detik/status/1791102903698272283","598959076","20detik"
"1790422574440006068","Thu May 16 13:46:22 +0000 2024","0","@mmmiia @Secular696 @dwikaputra Ini beneran nanya mbak .. kl udah semuran sy ini curiousity tinggi .. istilah anak sy itu kepo bukan utk investigasi nyari tau halu atau ngga tapi berarti sy ngga setau apa yg saya sangka .. pdhl sy pelaku demo no offense ya .. krn sy beneran baru tau info ini thanks","1791102897410936843","","mmmiia","in","Fusat Ferlindungan Fria Hensem","0","0","0","https://twitter.com/MustEkeph/status/1791102897410936843","70080366","MustEkeph"
"1791102738220134406","Thu May 16 13:45:44 +0000 2024","1","Polisi mengungkap nasib pelaku begal Calon Siswa Bintara Polri Satrio Mukti (18) yang terjadi di Jakarta Barat pada Sabtu (11/5). Satu orang tewas ditembak sementara dua pelaku lainnya menderita luka tembak di kaki. #newsupdate #update #news #videonews https://t.co/Bntp9nSvgv https://t.co/6jODVRCJGK","1791102738220134406","https://pbs.twimg.com/ext_tw_video_thumb/1791102576076763137/pu/img/wfvLlnTkABKpUXkg.jpg","","in","","0","1","0","https://twitter.com/kumparan/status/1791102738220134406","759692754985242625","kumparan"
